Дата;Регион;Значение;REGION
2020-02-18;Республика Марий Эл;71.0;Марий Эл
2020-02-18;Республика Татарстан;84.0;Татарстан
2020-02-18;Самарская область;77.0;Самарская обл.
2020-02-18;Саратовская область;70.0;Саратовская обл.
2020-02-18;Ульяновская область;65.0;Ульяновская обл.
2020-02-18;Чувашская Республика;78.0;Чувашия
2020-02-19;Мордовия;74.0;Мордовия
2020-02-19;Нижегородская область;78.0;Нижегородская обл.
2020-02-19;Пензенская область;72.0;Пензенская обл.
2020-02-19;Республика Марий Эл;71.0;Марий Эл
2020-02-19;Республика Татарстан;84.0;Татарстан
2020-02-19;Самарская область;82.0;Самарская обл.
2020-02-19;Саратовская область;71.0;Саратовская обл.
2020-02-19;Ульяновская область;66.0;Ульяновская обл.
2020-02-19;Чувашская Республика;75.0;Чувашия
2020-02-20;Мордовия;79.0;Мордовия
2020-02-20;Нижегородская область;83.0;Нижегородская обл.
2020-02-20;Пензенская область;78.0;Пензенская обл.
2020-02-20;Республика Марий Эл;76.0;Марий Эл
2020-02-20;Республика Татарстан;91.0;Татарстан
2020-02-20;Самарская область;88.0;Самарская обл.
2020-02-20;Саратовская область;79.0;Саратовская обл.
2020-02-20;Ульяновская область;74.0;Ульяновская обл.
2020-02-20;Чувашская Республика;82.0;Чувашия
2020-02-21;Мордовия;88.0;Мордовия
2020-02-21;Нижегородская область;96.0;Нижегородская обл.
2020-02-21;Пензенская область;89.0;Пензенская обл.
2020-02-21;Республика Марий Эл;81.0;Марий Эл
2020-02-21;Республика Татарстан;98.0;Татарстан
2020-02-21;Самарская область;94.0;Самарская обл.
2020-02-21;Саратовская область;91.0;Саратовская обл.
2020-02-21;Ульяновская область;83.0;Ульяновская обл.
2020-02-21;Чувашская Республика;87.0;Чувашия
2020-02-22;Мордовия;83.0;Мордовия
2020-02-22;Нижегородская область;86.0;Нижегородская обл.
2020-02-22;Пензенская область;88.0;Пензенская обл.
2020-02-22;Республика Марий Эл;76.0;Марий Эл
2020-02-22;Республика Татарстан;88.0;Татарстан
2020-02-22;Самарская область;87.0;Самарская обл.
2020-02-22;Саратовская область;82.0;Саратовская обл.
2020-02-22;Ульяновская область;80.0;Ульяновская обл.
2020-02-22;Чувашская Республика;80.0;Чувашия
2020-02-23;Мордовия;62.0;Мордовия
2020-02-23;Нижегородская область;60.0;Нижегородская обл.
2020-02-23;Пензенская область;64.0;Пензенская обл.
2020-02-23;Республика Марий Эл;60.0;Марий Эл
2020-02-23;Республика Татарстан;65.0;Татарстан
2020-02-23;Самарская область;68.0;Самарская обл.
2020-02-23;Саратовская область;65.0;Саратовская обл.
2020-02-23;Ульяновская область;59.0;Ульяновская обл.
2020-02-23;Чувашская Республика;61.0;Чувашия
2020-02-24;Мордовия;59.0;Мордовия
2020-02-24;Нижегородская область;58.0;Нижегородская обл.
2020-02-24;Пензенская область;61.0;Пензенская обл.
2020-02-24;Республика Марий Эл;52.0;Марий Эл
2020-02-24;Республика Татарстан;61.0;Татарстан
2020-02-24;Самарская область;58.0;Самарская обл.
2020-02-24;Саратовская область;58.0;Саратовская обл.
2020-02-24;Ульяновская область;51.0;Ульяновская обл.
2020-02-24;Чувашская Республика;57.0;Чувашия
2020-02-25;Мордовия;66.0;Мордовия
2020-02-25;Нижегородская область;71.0;Нижегородская обл.
2020-02-25;Пензенская область;66.0;Пензенская обл.
2020-02-25;Республика Марий Эл;65.0;Марий Эл
2020-02-25;Республика Татарстан;79.0;Татарстан
2020-02-25;Самарская область;72.0;Самарская обл.
2020-02-25;Саратовская область;68.0;Саратовская обл.
2020-02-25;Ульяновская область;63.0;Ульяновская обл.
2020-02-25;Чувашская Республика;72.0;Чувашия
2020-02-26;Мордовия;71.0;Мордовия
2020-02-26;Нижегородская область;77.0;Нижегородская обл.
2020-02-26;Пензенская область;71.0;Пензенская обл.
2020-02-26;Республика Марий Эл;68.0;Марий Эл
2020-02-26;Республика Татарстан;82.0;Татарстан
2020-02-26;Самарская область;74.0;Самарская обл.
2020-02-26;Саратовская область;73.0;Саратовская обл.
2020-02-26;Ульяновская область;67.0;Ульяновская обл.
2020-02-26;Чувашская Республика;75.0;Чувашия
2020-02-27;Мордовия;74.0;Мордовия
2020-02-27;Нижегородская область;79.0;Нижегородская обл.
2020-02-27;Пензенская область;73.0;Пензенская обл.
2020-02-27;Республика Марий Эл;66.0;Марий Эл
2020-02-27;Республика Татарстан;84.0;Татарстан
2020-02-27;Самарская область;80.0;Самарская обл.
2020-02-27;Саратовская область;76.0;Саратовская обл.
2020-02-27;Ульяновская область;68.0;Ульяновская обл.
2020-02-27;Чувашская Республика;79.0;Чувашия
2020-02-28;Мордовия;79.0;Мордовия
2020-02-28;Нижегородская область;83.0;Нижегородская обл.
2020-02-28;Пензенская область;78.0;Пензенская обл.
2020-02-28;Республика Марий Эл;71.0;Марий Эл
2020-02-28;Республика Татарстан;88.0;Татарстан
2020-02-28;Самарская область;89.0;Самарская обл.
2020-02-28;Саратовская область;80.0;Саратовская обл.
2020-02-28;Ульяновская область;77.0;Ульяновская обл.
2020-02-28;Чувашская Республика;81.0;Чувашия
2020-02-29;Мордовия;77.0;Мордовия
2020-02-29;Нижегородская область;76.0;Нижегородская обл.
2020-02-29;Пензенская область;81.0;Пензенская обл.
2020-02-29;Республика Марий Эл;67.0;Марий Эл
2020-02-29;Республика Татарстан;79.0;Татарстан
2020-02-29;Самарская область;80.0;Самарская обл.
2020-02-29;Саратовская область;75.0;Саратовская обл.
2020-02-29;Ульяновская область;72.0;Ульяновская обл.
2020-02-29;Чувашская Республика;71.0;Чувашия
2020-03-01;Мордовия;64.0;Мордовия
2020-03-01;Нижегородская область;65.0;Нижегородская обл.
2020-03-01;Пензенская область;63.0;Пензенская обл.
2020-03-01;Республика Марий Эл;57.0;Марий Эл
2020-03-01;Республика Татарстан;67.0;Татарстан
2020-03-01;Самарская область;67.0;Самарская обл.
2020-03-01;Саратовская область;64.0;Саратовская обл.
2020-03-01;Ульяновская область;58.0;Ульяновская обл.
2020-03-01;Чувашская Республика;60.0;Чувашия
2020-03-02;Мордовия;70.0;Мордовия
2020-03-02;Нижегородская область;70.0;Нижегородская обл.
2020-03-02;Пензенская область;68.0;Пензенская обл.
2020-03-02;Республика Марий Эл;63.0;Марий Эл
2020-03-02;Республика Татарстан;78.0;Татарстан
2020-03-02;Самарская область;75.0;Самарская обл.
2020-03-02;Саратовская область;72.0;Саратовская обл.
2020-03-02;Ульяновская область;63.0;Ульяновская обл.
2020-03-02;Чувашская Республика;73.0;Чувашия
2020-03-03;Мордовия;72.0;Мордовия
2020-03-03;Нижегородская область;77.0;Нижегородская обл.
2020-03-03;Пензенская область;75.0;Пензенская обл.
2020-03-03;Республика Марий Эл;67.0;Марий Эл
2020-03-03;Республика Татарстан;85.0;Татарстан
2020-03-03;Самарская область;77.0;Самарская обл.
2020-03-03;Саратовская область;72.0;Саратовская обл.
2020-03-03;Ульяновская область;66.0;Ульяновская обл.
2020-03-03;Чувашская Республика;78.0;Чувашия
2020-03-04;Мордовия;77.0;Мордовия
2020-03-04;Нижегородская область;81.0;Нижегородская обл.
2020-03-04;Пензенская область;79.0;Пензенская обл.
2020-03-04;Республика Марий Эл;69.0;Марий Эл
2020-03-04;Республика Татарстан;85.0;Татарстан
2020-03-04;Самарская область;78.0;Самарская обл.
2020-03-04;Саратовская область;78.0;Саратовская обл.
2020-03-04;Ульяновская область;71.0;Ульяновская обл.
2020-03-04;Чувашская Республика;79.0;Чувашия
2020-03-05;Мордовия;87.0;Мордовия
2020-03-05;Нижегородская область;85.0;Нижегородская обл.
2020-03-05;Пензенская область;87.0;Пензенская обл.
2020-03-05;Республика Марий Эл;74.0;Марий Эл
2020-03-05;Республика Татарстан;90.0;Татарстан
2020-03-05;Самарская область;87.0;Самарская обл.
2020-03-05;Саратовская область;85.0;Саратовская обл.
2020-03-05;Ульяновская область;76.0;Ульяновская обл.
2020-03-05;Чувашская Республика;84.0;Чувашия
2020-03-06;Мордовия;90.0;Мордовия
2020-03-06;Нижегородская область;91.0;Нижегородская обл.
2020-03-06;Пензенская область;91.0;Пензенская обл.
2020-03-06;Республика Марий Эл;76.0;Марий Эл
2020-03-06;Республика Татарстан;96.0;Татарстан
2020-03-06;Самарская область;93.0;Самарская обл.
2020-03-06;Саратовская область;90.0;Саратовская обл.
2020-03-06;Ульяновская область;86.0;Ульяновская обл.
2020-03-06;Чувашская Республика;88.0;Чувашия
2020-03-07;Мордовия;87.0;Мордовия
2020-03-07;Нижегородская область;86.0;Нижегородская обл.
2020-03-07;Пензенская область;95.0;Пензенская обл.
2020-03-07;Республика Марий Эл;75.0;Марий Эл
2020-03-07;Республика Татарстан;92.0;Татарстан
2020-03-07;Самарская область;88.0;Самарская обл.
2020-03-07;Саратовская область;85.0;Саратовская обл.
2020-03-07;Ульяновская область;88.0;Ульяновская обл.
2020-03-07;Чувашская Республика;88.0;Чувашия
2020-03-08;Мордовия;71.0;Мордовия
2020-03-08;Нижегородская область;64.0;Нижегородская обл.
2020-03-08;Пензенская область;69.0;Пензенская обл.
2020-03-08;Республика Марий Эл;56.0;Марий Эл
2020-03-08;Республика Татарстан;67.0;Татарстан
2020-03-08;Самарская область;69.0;Самарская обл.
2020-03-08;Саратовская область;71.0;Саратовская обл.
2020-03-08;Ульяновская область;70.0;Ульяновская обл.
2020-03-08;Чувашская Республика;65.0;Чувашия
2020-03-09;Мордовия;56.0;Мордовия
2020-03-09;Нижегородская область;62.0;Нижегородская обл.
2020-03-09;Пензенская область;60.0;Пензенская обл.
2020-03-09;Республика Марий Эл;49.0;Марий Эл
2020-03-09;Республика Татарстан;61.0;Татарстан
2020-03-09;Самарская область;59.0;Самарская обл.
2020-03-09;Саратовская область;62.0;Саратовская обл.
2020-03-09;Ульяновская область;55.0;Ульяновская обл.
2020-03-09;Чувашская Республика;61.0;Чувашия
2020-03-10;Мордовия;73.0;Мордовия
2020-03-10;Нижегородская область;70.0;Нижегородская обл.
2020-03-10;Пензенская область;69.0;Пензенская обл.
2020-03-10;Республика Марий Эл;62.0;Марий Эл
2020-03-10;Республика Татарстан;79.0;Татарстан
2020-03-10;Самарская область;77.0;Самарская обл.
2020-03-10;Саратовская область;74.0;Саратовская обл.
2020-03-10;Ульяновская область;66.0;Ульяновская обл.
2020-03-10;Чувашская Республика;75.0;Чувашия
2020-03-11;Мордовия;76.0;Мордовия
2020-03-11;Нижегородская область;77.0;Нижегородская обл.
2020-03-11;Пензенская область;76.0;Пензенская обл.
2020-03-11;Республика Марий Эл;73.0;Марий Эл
2020-03-11;Республика Татарстан;85.0;Татарстан
2020-03-11;Самарская область;80.0;Самарская обл.
2020-03-11;Саратовская область;75.0;Саратовская обл.
2020-03-11;Ульяновская область;68.0;Ульяновская обл.
2020-03-11;Чувашская Республика;82.0;Чувашия
2020-03-12;Мордовия;75.0;Мордовия
2020-03-12;Нижегородская область;75.0;Нижегородская обл.
2020-03-12;Пензенская область;74.0;Пензенская обл.
2020-03-12;Республика Марий Эл;71.0;Марий Эл
2020-03-12;Республика Татарстан;82.0;Татарстан
2020-03-12;Самарская область;78.0;Самарская обл.
2020-03-12;Саратовская область;73.0;Саратовская обл.
2020-03-12;Ульяновская область;73.0;Ульяновская обл.
2020-03-12;Чувашская Республика;81.0;Чувашия
2020-03-13;Мордовия;88.0;Мордовия
2020-03-13;Нижегородская область;81.0;Нижегородская обл.
2020-03-13;Пензенская область;84.0;Пензенская обл.
2020-03-13;Республика Марий Эл;79.0;Марий Эл
2020-03-13;Республика Татарстан;89.0;Татарстан
2020-03-13;Самарская область;96.0;Самарская обл.
2020-03-13;Саратовская область;83.0;Саратовская обл.
2020-03-13;Ульяновская область;79.0;Ульяновская обл.
2020-03-13;Чувашская Республика;85.0;Чувашия
2020-03-14;Мордовия;83.0;Мордовия
2020-03-14;Нижегородская область;79.0;Нижегородская обл.
2020-03-14;Пензенская область;84.0;Пензенская обл.
2020-03-14;Республика Марий Эл;76.0;Марий Эл
2020-03-14;Республика Татарстан;85.0;Татарстан
2020-03-14;Самарская область;86.0;Самарская обл.
2020-03-14;Саратовская область;73.0;Саратовская обл.
2020-03-14;Ульяновская область;78.0;Ульяновская обл.
2020-03-14;Чувашская Республика;83.0;Чувашия
2020-03-15;Мордовия;67.0;Мордовия
2020-03-15;Нижегородская область;60.0;Нижегородская обл.
2020-03-15;Пензенская область;65.0;Пензенская обл.
2020-03-15;Республика Марий Эл;65.0;Марий Эл
2020-03-15;Республика Татарстан;73.0;Татарстан
2020-03-15;Самарская область;71.0;Самарская обл.
2020-03-15;Саратовская область;67.0;Саратовская обл.
2020-03-15;Ульяновская область;62.0;Ульяновская обл.
2020-03-15;Чувашская Республика;68.0;Чувашия
2020-03-16;Мордовия;79.0;Мордовия
2020-03-16;Нижегородская область;75.0;Нижегородская обл.
2020-03-16;Пензенская область;78.0;Пензенская обл.
2020-03-16;Республика Марий Эл;78.0;Марий Эл
2020-03-16;Республика Татарстан;84.0;Татарстан
2020-03-16;Самарская область;84.0;Самарская обл.
2020-03-16;Саратовская область;74.0;Саратовская обл.
2020-03-16;Ульяновская область;69.0;Ульяновская обл.
2020-03-16;Чувашская Республика;83.0;Чувашия
2020-03-17;Мордовия;84.0;Мордовия
2020-03-17;Нижегородская область;78.0;Нижегородская обл.
2020-03-17;Пензенская область;81.0;Пензенская обл.
2020-03-17;Республика Марий Эл;81.0;Марий Эл
2020-03-17;Республика Татарстан;89.0;Татарстан
2020-03-17;Самарская область;88.0;Самарская обл.
2020-03-17;Саратовская область;84.0;Саратовская обл.
2020-03-17;Ульяновская область;77.0;Ульяновская обл.
2020-03-17;Чувашская Республика;85.0;Чувашия
2020-03-18;Мордовия;76.0;Мордовия
2020-03-18;Нижегородская область;77.0;Нижегородская обл.
2020-03-18;Пензенская область;71.0;Пензенская обл.
2020-03-18;Республика Марий Эл;80.0;Марий Эл
2020-03-18;Республика Татарстан;85.0;Татарстан
2020-03-18;Самарская область;81.0;Самарская обл.
2020-03-18;Саратовская область;79.0;Саратовская обл.
2020-03-18;Ульяновская область;75.0;Ульяновская обл.
2020-03-18;Чувашская Республика;85.0;Чувашия
2020-03-19;Мордовия;70.0;Мордовия
2020-03-19;Нижегородская область;75.0;Нижегородская обл.
2020-03-19;Пензенская область;70.0;Пензенская обл.
2020-03-19;Республика Марий Эл;68.0;Марий Эл
2020-03-19;Республика Татарстан;72.0;Татарстан
2020-03-19;Самарская область;76.0;Самарская обл.
2020-03-19;Саратовская область;75.0;Саратовская обл.
2020-03-19;Ульяновская область;66.0;Ульяновская обл.
2020-03-19;Чувашская Республика;75.0;Чувашия
2020-03-20;Мордовия;82.0;Мордовия
2020-03-20;Нижегородская область;86.0;Нижегородская обл.
2020-03-20;Пензенская область;79.0;Пензенская обл.
2020-03-20;Республика Марий Эл;77.0;Марий Эл
2020-03-20;Республика Татарстан;81.0;Татарстан
2020-03-20;Самарская область;82.0;Самарская обл.
2020-03-20;Саратовская область;80.0;Саратовская обл.
2020-03-20;Ульяновская область;73.0;Ульяновская обл.
2020-03-20;Чувашская Республика;83.0;Чувашия
2020-03-21;Мордовия;71.0;Мордовия
2020-03-21;Нижегородская область;74.0;Нижегородская обл.
2020-03-21;Пензенская область;74.0;Пензенская обл.
2020-03-21;Республика Марий Эл;61.0;Марий Эл
2020-03-21;Республика Татарстан;70.0;Татарстан
2020-03-21;Самарская область;73.0;Самарская обл.
2020-03-21;Саратовская область;69.0;Саратовская обл.
2020-03-21;Ульяновская область;66.0;Ульяновская обл.
2020-03-21;Чувашская Республика;72.0;Чувашия
2020-03-22;Мордовия;56.0;Мордовия
2020-03-22;Нижегородская область;57.0;Нижегородская обл.
2020-03-22;Пензенская область;55.0;Пензенская обл.
2020-03-22;Республика Марий Эл;55.0;Марий Эл
2020-03-22;Республика Татарстан;56.0;Татарстан
2020-03-22;Самарская область;53.0;Самарская обл.
2020-03-22;Саратовская область;45.0;Саратовская обл.
2020-03-22;Ульяновская область;52.0;Ульяновская обл.
2020-03-22;Чувашская Республика;56.0;Чувашия
2020-03-23;Мордовия;56.0;Мордовия
2020-03-23;Нижегородская область;64.0;Нижегородская обл.
2020-03-23;Пензенская область;59.0;Пензенская обл.
2020-03-23;Республика Марий Эл;63.0;Марий Эл
2020-03-23;Республика Татарстан;65.0;Татарстан
2020-03-23;Самарская область;55.0;Самарская обл.
2020-03-23;Саратовская область;57.0;Саратовская обл.
2020-03-23;Ульяновская область;50.0;Ульяновская обл.
2020-03-23;Чувашская Республика;70.0;Чувашия
2020-03-24;Мордовия;62.0;Мордовия
2020-03-24;Нижегородская область;65.0;Нижегородская обл.
2020-03-24;Пензенская область;65.0;Пензенская обл.
2020-03-24;Республика Марий Эл;62.0;Марий Эл
2020-03-24;Республика Татарстан;64.0;Татарстан
2020-03-24;Самарская область;62.0;Самарская обл.
2020-03-24;Саратовская область;62.0;Саратовская обл.
2020-03-24;Ульяновская область;56.0;Ульяновская обл.
2020-03-24;Чувашская Республика;67.0;Чувашия
2020-03-25;Мордовия;72.0;Мордовия
2020-03-25;Нижегородская область;72.0;Нижегородская обл.
2020-03-25;Пензенская область;77.0;Пензенская обл.
2020-03-25;Республика Марий Эл;69.0;Марий Эл
2020-03-25;Республика Татарстан;66.0;Татарстан
2020-03-25;Самарская область;71.0;Самарская обл.
2020-03-25;Саратовская область;69.0;Саратовская обл.
2020-03-25;Ульяновская область;68.0;Ульяновская обл.
2020-03-25;Чувашская Республика;75.0;Чувашия
2020-03-26;Мордовия;75.0;Мордовия
2020-03-26;Нижегородская область;79.0;Нижегородская обл.
2020-03-26;Пензенская область;76.0;Пензенская обл.
2020-03-26;Республика Марий Эл;71.0;Марий Эл
2020-03-26;Республика Татарстан;73.0;Татарстан
2020-03-26;Самарская область;73.0;Самарская обл.
2020-03-26;Саратовская область;71.0;Саратовская обл.
2020-03-26;Ульяновская область;71.0;Ульяновская обл.
2020-03-26;Чувашская Республика;76.0;Чувашия
2020-03-27;Мордовия;85.0;Мордовия
2020-03-27;Нижегородская область;86.0;Нижегородская обл.
2020-03-27;Пензенская область;87.0;Пензенская обл.
2020-03-27;Республика Марий Эл;83.0;Марий Эл
2020-03-27;Республика Татарстан;81.0;Татарстан
2020-03-27;Самарская область;86.0;Самарская обл.
2020-03-27;Саратовская область;82.0;Саратовская обл.
2020-03-27;Ульяновская область;81.0;Ульяновская обл.
2020-03-27;Чувашская Республика;85.0;Чувашия
2020-03-28;Мордовия;65.0;Мордовия
2020-03-28;Нижегородская область;57.0;Нижегородская обл.
2020-03-28;Пензенская область;65.0;Пензенская обл.
2020-03-28;Республика Марий Эл;61.0;Марий Эл
2020-03-28;Республика Татарстан;53.0;Татарстан
2020-03-28;Самарская область;65.0;Самарская обл.
2020-03-28;Саратовская область;57.0;Саратовская обл.
2020-03-28;Ульяновская область;69.0;Ульяновская обл.
2020-03-28;Чувашская Республика;65.0;Чувашия
2020-03-29;Мордовия;46.0;Мордовия
2020-03-29;Нижегородская область;39.0;Нижегородская обл.
2020-03-29;Пензенская область;48.0;Пензенская обл.
2020-03-29;Республика Марий Эл;46.0;Марий Эл
2020-03-29;Республика Татарстан;38.0;Татарстан
2020-03-29;Самарская область;43.0;Самарская обл.
2020-03-29;Саратовская область;44.0;Саратовская обл.
2020-03-29;Ульяновская область;56.0;Ульяновская обл.
2020-03-29;Чувашская Республика;45.0;Чувашия
2020-03-30;Мордовия;48.0;Мордовия
2020-03-30;Нижегородская область;41.0;Нижегородская обл.
2020-03-30;Пензенская область;48.0;Пензенская обл.
2020-03-30;Республика Марий Эл;51.0;Марий Эл
2020-03-30;Республика Татарстан;40.0;Татарстан
2020-03-30;Самарская область;46.0;Самарская обл.
2020-03-30;Саратовская область;47.0;Саратовская обл.
2020-03-30;Ульяновская область;49.0;Ульяновская обл.
2020-03-30;Чувашская Республика;50.0;Чувашия
2020-03-31;Мордовия;47.0;Мордовия
2020-03-31;Нижегородская область;32.0;Нижегородская обл.
2020-03-31;Пензенская область;49.0;Пензенская обл.
2020-03-31;Республика Марий Эл;41.0;Марий Эл
2020-03-31;Республика Татарстан;40.0;Татарстан
2020-03-31;Самарская область;49.0;Самарская обл.
2020-03-31;Саратовская область;42.0;Саратовская обл.
2020-03-31;Ульяновская область;49.0;Ульяновская обл.
2020-03-31;Чувашская Республика;44.0;Чувашия
2020-04-01;Мордовия;40.0;Мордовия
2020-04-01;Нижегородская область;30.0;Нижегородская обл.
2020-04-01;Пензенская область;44.0;Пензенская обл.
2020-04-01;Республика Марий Эл;35.0;Марий Эл
2020-04-01;Республика Татарстан;18.0;Татарстан
2020-04-01;Самарская область;37.0;Самарская обл.
2020-04-01;Саратовская область;45.0;Саратовская обл.
2020-04-01;Ульяновская область;41.0;Ульяновская обл.
2020-04-01;Чувашская Республика;38.0;Чувашия
2020-04-02;Мордовия;42.0;Мордовия
2020-04-02;Нижегородская область;30.0;Нижегородская обл.
2020-04-02;Пензенская область;42.0;Пензенская обл.
2020-04-02;Республика Марий Эл;34.0;Марий Эл
2020-04-02;Республика Татарстан;19.0;Татарстан
2020-04-02;Самарская область;38.0;Самарская обл.
2020-04-02;Саратовская область;37.0;Саратовская обл.
2020-04-02;Ульяновская область;41.0;Ульяновская обл.
2020-04-02;Чувашская Республика;37.0;Чувашия
2020-04-03;Мордовия;47.0;Мордовия
2020-04-03;Нижегородская область;35.0;Нижегородская обл.
2020-04-03;Пензенская область;48.0;Пензенская обл.
2020-04-03;Республика Марий Эл;42.0;Марий Эл
2020-04-03;Республика Татарстан;26.0;Татарстан
2020-04-03;Самарская область;46.0;Самарская обл.
2020-04-03;Саратовская область;44.0;Саратовская обл.
2020-04-03;Ульяновская область;48.0;Ульяновская обл.
2020-04-03;Чувашская Республика;45.0;Чувашия
2020-04-04;Мордовия;41.0;Мордовия
2020-04-04;Нижегородская область;31.0;Нижегородская обл.
2020-04-04;Пензенская область;46.0;Пензенская обл.
2020-04-04;Республика Марий Эл;36.0;Марий Эл
2020-04-04;Республика Татарстан;25.0;Татарстан
2020-04-04;Самарская область;43.0;Самарская обл.
2020-04-04;Саратовская область;38.0;Саратовская обл.
2020-04-04;Ульяновская область;44.0;Ульяновская обл.
2020-04-04;Чувашская Республика;38.0;Чувашия
2020-04-05;Мордовия;39.0;Мордовия
2020-04-05;Нижегородская область;25.0;Нижегородская обл.
2020-04-05;Пензенская область;38.0;Пензенская обл.
2020-04-05;Республика Марий Эл;32.0;Марий Эл
2020-04-05;Республика Татарстан;23.0;Татарстан
2020-04-05;Самарская область;34.0;Самарская обл.
2020-04-05;Саратовская область;35.0;Саратовская обл.
2020-04-05;Ульяновская область;39.0;Ульяновская обл.
2020-04-05;Чувашская Республика;31.0;Чувашия
2020-04-06;Мордовия;44.0;Мордовия
2020-04-06;Нижегородская область;34.0;Нижегородская обл.
2020-04-06;Пензенская область;44.0;Пензенская обл.
2020-04-06;Республика Марий Эл;40.0;Марий Эл
2020-04-06;Республика Татарстан;25.0;Татарстан
2020-04-06;Самарская область;43.0;Самарская обл.
2020-04-06;Саратовская область;38.0;Саратовская обл.
2020-04-06;Ульяновская область;44.0;Ульяновская обл.
2020-04-06;Чувашская Республика;44.0;Чувашия
2020-04-07;Мордовия;49.0;Мордовия
2020-04-07;Нижегородская область;38.0;Нижегородская обл.
2020-04-07;Пензенская область;50.0;Пензенская обл.
2020-04-07;Республика Марий Эл;43.0;Марий Эл
2020-04-07;Республика Татарстан;33.0;Татарстан
2020-04-07;Самарская область;48.0;Самарская обл.
2020-04-07;Саратовская область;42.0;Саратовская обл.
2020-04-07;Ульяновская область;49.0;Ульяновская обл.
2020-04-07;Чувашская Республика;47.0;Чувашия
2020-04-08;Мордовия;49.0;Мордовия
2020-04-08;Нижегородская область;38.0;Нижегородская обл.
2020-04-08;Пензенская область;49.0;Пензенская обл.
2020-04-08;Республика Марий Эл;42.0;Марий Эл
2020-04-08;Республика Татарстан;35.0;Татарстан
2020-04-08;Самарская область;47.0;Самарская обл.
2020-04-08;Саратовская область;45.0;Саратовская обл.
2020-04-08;Ульяновская область;49.0;Ульяновская обл.
2020-04-08;Чувашская Республика;49.0;Чувашия
2020-04-09;Мордовия;50.0;Мордовия
2020-04-09;Нижегородская область;45.0;Нижегородская обл.
2020-04-09;Пензенская область;52.0;Пензенская обл.
2020-04-09;Республика Марий Эл;48.0;Марий Эл
2020-04-09;Республика Татарстан;40.0;Татарстан
2020-04-09;Самарская область;56.0;Самарская обл.
2020-04-09;Саратовская область;48.0;Саратовская обл.
2020-04-09;Ульяновская область;54.0;Ульяновская обл.
2020-04-09;Чувашская Республика;49.0;Чувашия
2020-04-10;Мордовия;59.0;Мордовия
2020-04-10;Нижегородская область;52.0;Нижегородская обл.
2020-04-10;Пензенская область;61.0;Пензенская обл.
2020-04-10;Республика Марий Эл;50.0;Марий Эл
2020-04-10;Республика Татарстан;43.0;Татарстан
2020-04-10;Самарская область;67.0;Самарская обл.
2020-04-10;Саратовская область;56.0;Саратовская обл.
2020-04-10;Ульяновская область;61.0;Ульяновская обл.
2020-04-10;Чувашская Республика;54.0;Чувашия
2020-04-11;Мордовия;45.0;Мордовия
2020-04-11;Нижегородская область;46.0;Нижегородская обл.
2020-04-11;Пензенская область;47.0;Пензенская обл.
2020-04-11;Республика Марий Эл;42.0;Марий Эл
2020-04-11;Республика Татарстан;39.0;Татарстан
2020-04-11;Самарская область;62.0;Самарская обл.
2020-04-11;Саратовская область;48.0;Саратовская обл.
2020-04-11;Ульяновская область;56.0;Ульяновская обл.
2020-04-11;Чувашская Республика;44.0;Чувашия
2020-04-12;Мордовия;35.0;Мордовия
2020-04-12;Нижегородская область;36.0;Нижегородская обл.
2020-04-12;Пензенская область;30.0;Пензенская обл.
2020-04-12;Республика Марий Эл;34.0;Марий Эл
2020-04-12;Республика Татарстан;31.0;Татарстан
2020-04-12;Самарская область;47.0;Самарская обл.
2020-04-12;Саратовская область;26.0;Саратовская обл.
2020-04-12;Ульяновская область;43.0;Ульяновская обл.
2020-04-12;Чувашская Республика;33.0;Чувашия
2020-04-13;Мордовия;53.0;Мордовия
2020-04-13;Нижегородская область;44.0;Нижегородская обл.
2020-04-13;Пензенская область;54.0;Пензенская обл.
2020-04-13;Республика Марий Эл;45.0;Марий Эл
2020-04-13;Республика Татарстан;40.0;Татарстан
2020-04-13;Самарская область;55.0;Самарская обл.
2020-04-13;Саратовская область;49.0;Саратовская обл.
2020-04-13;Ульяновская область;48.0;Ульяновская обл.
2020-04-13;Чувашская Республика;49.0;Чувашия
2020-04-14;Мордовия;55.0;Мордовия
2020-04-14;Нижегородская область;48.0;Нижегородская обл.
2020-04-14;Пензенская область;59.0;Пензенская обл.
2020-04-14;Республика Марий Эл;51.0;Марий Эл
2020-04-14;Республика Татарстан;45.0;Татарстан
2020-04-14;Самарская область;63.0;Самарская обл.
2020-04-14;Саратовская область;53.0;Саратовская обл.
2020-04-14;Ульяновская область;55.0;Ульяновская обл.
2020-04-14;Чувашская Республика;54.0;Чувашия
2020-04-15;Мордовия;54.0;Мордовия
2020-04-15;Нижегородская область;41.0;Нижегородская обл.
2020-04-15;Пензенская область;56.0;Пензенская обл.
2020-04-15;Республика Марий Эл;53.0;Марий Эл
2020-04-15;Республика Татарстан;44.0;Татарстан
2020-04-15;Самарская область;63.0;Самарская обл.
2020-04-15;Саратовская область;51.0;Саратовская обл.
2020-04-15;Ульяновская область;56.0;Ульяновская обл.
2020-04-15;Чувашская Республика;51.0;Чувашия
2020-04-16;Мордовия;59.0;Мордовия
2020-04-16;Нижегородская область;48.0;Нижегородская обл.
2020-04-16;Пензенская область;62.0;Пензенская обл.
2020-04-16;Республика Марий Эл;51.0;Марий Эл
2020-04-16;Республика Татарстан;42.0;Татарстан
