Дата;Регион;Значение;REGION
2019-12-12;Самарская область;80.0;Самарская обл.
2019-12-12;Саратовская область;76.0;Саратовская обл.
2019-12-12;Ульяновская область;72.0;Ульяновская обл.
2019-12-12;Чувашская Республика;85.0;Чувашия
2019-12-13;Мордовия;85.0;Мордовия
2019-12-13;Нижегородская область;88.0;Нижегородская обл.
2019-12-13;Пензенская область;84.0;Пензенская обл.
2019-12-13;Республика Марий Эл;85.0;Марий Эл
2019-12-13;Республика Татарстан;96.0;Татарстан
2019-12-13;Самарская область;94.0;Самарская обл.
2019-12-13;Саратовская область;84.0;Саратовская обл.
2019-12-13;Ульяновская область;83.0;Ульяновская обл.
2019-12-13;Чувашская Республика;89.0;Чувашия
2019-12-14;Мордовия;79.0;Мордовия
2019-12-14;Нижегородская область;81.0;Нижегородская обл.
2019-12-14;Пензенская область;80.0;Пензенская обл.
2019-12-14;Республика Марий Эл;78.0;Марий Эл
2019-12-14;Республика Татарстан;85.0;Татарстан
2019-12-14;Самарская область;84.0;Самарская обл.
2019-12-14;Саратовская область;76.0;Саратовская обл.
2019-12-14;Ульяновская область;77.0;Ульяновская обл.
2019-12-14;Чувашская Республика;83.0;Чувашия
2019-12-15;Мордовия;66.0;Мордовия
2019-12-15;Нижегородская область;62.0;Нижегородская обл.
2019-12-15;Пензенская область;66.0;Пензенская обл.
2019-12-15;Республика Марий Эл;65.0;Марий Эл
2019-12-15;Республика Татарстан;71.0;Татарстан
2019-12-15;Самарская область;70.0;Самарская обл.
2019-12-15;Саратовская область;65.0;Саратовская обл.
2019-12-15;Ульяновская область;61.0;Ульяновская обл.
2019-12-15;Чувашская Республика;65.0;Чувашия
2019-12-16;Мордовия;71.0;Мордовия
2019-12-16;Нижегородская область;73.0;Нижегородская обл.
2019-12-16;Пензенская область;69.0;Пензенская обл.
2019-12-16;Республика Марий Эл;73.0;Марий Эл
2019-12-16;Республика Татарстан;88.0;Татарстан
2019-12-16;Самарская область;76.0;Самарская обл.
2019-12-16;Саратовская область;70.0;Саратовская обл.
2019-12-16;Ульяновская область;65.0;Ульяновская обл.
2019-12-16;Чувашская Республика;75.0;Чувашия
2019-12-17;Мордовия;73.0;Мордовия
2019-12-17;Нижегородская область;76.0;Нижегородская обл.
2019-12-17;Пензенская область;70.0;Пензенская обл.
2019-12-17;Республика Марий Эл;72.0;Марий Эл
2019-12-17;Республика Татарстан;88.0;Татарстан
2019-12-17;Самарская область;79.0;Самарская обл.
2019-12-17;Саратовская область;74.0;Саратовская обл.
2019-12-17;Ульяновская область;66.0;Ульяновская обл.
2019-12-17;Чувашская Республика;79.0;Чувашия
2019-12-18;Мордовия;77.0;Мордовия
2019-12-18;Нижегородская область;76.0;Нижегородская обл.
2019-12-18;Пензенская область;74.0;Пензенская обл.
2019-12-18;Республика Марий Эл;74.0;Марий Эл
2019-12-18;Республика Татарстан;88.0;Татарстан
2019-12-18;Самарская область;80.0;Самарская обл.
2019-12-18;Саратовская область;76.0;Саратовская обл.
2019-12-18;Ульяновская область;71.0;Ульяновская обл.
2019-12-18;Чувашская Республика;79.0;Чувашия
2019-12-19;Мордовия;82.0;Мордовия
2019-12-19;Нижегородская область;79.0;Нижегородская обл.
2019-12-19;Пензенская область;77.0;Пензенская обл.
2019-12-19;Республика Марий Эл;72.0;Марий Эл
2019-12-19;Республика Татарстан;92.0;Татарстан
2019-12-19;Самарская область;77.0;Самарская обл.
2019-12-19;Саратовская область;77.0;Саратовская обл.
2019-12-19;Ульяновская область;68.0;Ульяновская обл.
2019-12-19;Чувашская Республика;80.0;Чувашия
2019-12-20;Мордовия;87.0;Мордовия
2019-12-20;Нижегородская область;89.0;Нижегородская обл.
2019-12-20;Пензенская область;86.0;Пензенская обл.
2019-12-20;Республика Марий Эл;76.0;Марий Эл
2019-12-20;Республика Татарстан;97.0;Татарстан
2019-12-20;Самарская область;90.0;Самарская обл.
2019-12-20;Саратовская область;83.0;Саратовская обл.
2019-12-20;Ульяновская область;76.0;Ульяновская обл.
2019-12-20;Чувашская Республика;86.0;Чувашия
2019-12-21;Мордовия;81.0;Мордовия
2019-12-21;Нижегородская область;86.0;Нижегородская обл.
2019-12-21;Пензенская область;83.0;Пензенская обл.
2019-12-21;Республика Марий Эл;74.0;Марий Эл
2019-12-21;Республика Татарстан;89.0;Татарстан
2019-12-21;Самарская область;82.0;Самарская обл.
2019-12-21;Саратовская область;82.0;Саратовская обл.
2019-12-21;Ульяновская область;75.0;Ульяновская обл.
2019-12-21;Чувашская Республика;83.0;Чувашия
2019-12-22;Мордовия;66.0;Мордовия
2019-12-22;Нижегородская область;68.0;Нижегородская обл.
2019-12-22;Пензенская область;67.0;Пензенская обл.
2019-12-22;Республика Марий Эл;61.0;Марий Эл
2019-12-22;Республика Татарстан;74.0;Татарстан
2019-12-22;Самарская область;66.0;Самарская обл.
2019-12-22;Саратовская область;66.0;Саратовская обл.
2019-12-22;Ульяновская область;61.0;Ульяновская обл.
2019-12-22;Чувашская Республика;66.0;Чувашия
2019-12-23;Мордовия;72.0;Мордовия
2019-12-23;Нижегородская область;75.0;Нижегородская обл.
2019-12-23;Пензенская область;74.0;Пензенская обл.
2019-12-23;Республика Марий Эл;65.0;Марий Эл
2019-12-23;Республика Татарстан;88.0;Татарстан
2019-12-23;Самарская область;76.0;Самарская обл.
2019-12-23;Саратовская область;77.0;Саратовская обл.
2019-12-23;Ульяновская область;67.0;Ульяновская обл.
2019-12-23;Чувашская Республика;73.0;Чувашия
2019-12-24;Мордовия;79.0;Мордовия
2019-12-24;Нижегородская область;79.0;Нижегородская обл.
2019-12-24;Пензенская область;75.0;Пензенская обл.
2019-12-24;Республика Марий Эл;61.0;Марий Эл
2019-12-24;Республика Татарстан;92.0;Татарстан
2019-12-24;Самарская область;77.0;Самарская обл.
2019-12-24;Саратовская область;77.0;Саратовская обл.
2019-12-24;Ульяновская область;70.0;Ульяновская обл.
2019-12-24;Чувашская Республика;72.0;Чувашия
2019-12-25;Мордовия;85.0;Мордовия
2019-12-25;Нижегородская область;88.0;Нижегородская обл.
2019-12-25;Пензенская область;80.0;Пензенская обл.
2019-12-25;Республика Марий Эл;74.0;Марий Эл
2019-12-25;Республика Татарстан;95.0;Татарстан
2019-12-25;Самарская область;84.0;Самарская обл.
2019-12-25;Саратовская область;81.0;Саратовская обл.
2019-12-25;Ульяновская область;75.0;Ульяновская обл.
2019-12-25;Чувашская Республика;82.0;Чувашия
2019-12-26;Мордовия;84.0;Мордовия
2019-12-26;Нижегородская область;92.0;Нижегородская обл.
2019-12-26;Пензенская область;83.0;Пензенская обл.
2019-12-26;Республика Марий Эл;76.0;Марий Эл
2019-12-26;Республика Татарстан;94.0;Татарстан
2019-12-26;Самарская область;83.0;Самарская обл.
2019-12-26;Саратовская область;82.0;Саратовская обл.
2019-12-26;Ульяновская область;82.0;Ульяновская обл.
2019-12-26;Чувашская Республика;87.0;Чувашия
2019-12-27;Мордовия;83.0;Мордовия
2019-12-27;Нижегородская область;88.0;Нижегородская обл.
2019-12-27;Пензенская область;82.0;Пензенская обл.
2019-12-27;Республика Марий Эл;77.0;Марий Эл
2019-12-27;Республика Татарстан;91.0;Татарстан
2019-12-27;Самарская область;85.0;Самарская обл.
2019-12-27;Саратовская область;84.0;Саратовская обл.
2019-12-27;Ульяновская область;81.0;Ульяновская обл.
2019-12-27;Чувашская Республика;83.0;Чувашия
2019-12-28;Мордовия;86.0;Мордовия
2019-12-28;Нижегородская область;92.0;Нижегородская обл.
2019-12-28;Пензенская область;92.0;Пензенская обл.
2019-12-28;Республика Марий Эл;82.0;Марий Эл
