YEAR;MONTH;DAY;TEMP;VISIB
2015;1;1;12.756666666666666;5.286666666666666
2015;1;2;21.97666666666667;4.21
2015;1;3;31.25;6.043333333333333
2015;1;4;31.393333333333334;7.109999999999999
2015;1;5;27.22;6.44
2015;1;6;5.559999999999999;7.693333333333333
2015;1;7;-14.716666666666665;8.986666666666668
2015;1;8;-6.980000000000001;7.873333333333332
2015;1;9;8.666666666666666;5.986666666666666
2015;1;10;17.89666666666667;4.623333333333333
2015;1;11;26.76;3.7766666666666664
2015;1;12;29.560000000000002;7.693333333333335
2015;1;13;28.503333333333337;6.816666666666667
2015;1;14;33.25;7.8100000000000005
2015;1;15;32.27666666666667;7.92
2015;1;16;25.643333333333334;5.666666666666667
2015;1;17;20.056666666666665;72.88333333333333
2015;1;18;26.169999999999998;4.9833333333333325
2015;1;19;30.810000000000002;5.313333333333334
2015;1;20;18.273333333333333;7.953333333333333
2015;1;21;3.5166666666666666;74.93666666666667
2015;1;22;-1.1800000000000002;8.626666666666669
2015;1;23;-0.6233333333333332;8.443333333333333
2015;1;24;3.5900000000000007;74.36
2015;1;25;6.196666666666667;8.636666666666667
2015;1;26;2.943333333333334;8.613333333333333
2015;1;27;4.659999999999999;8.23
2015;1;28;9.88;4.983333333333333
2015;1;29;10.319999999999999;7.903333333333333
2015;1;30;8.879999999999999;7.426666666666668
2015;1;31;18.386666666666663;7.043333333333334
2015;2;1;22.883333333333333;6.706666666666668
2015;2;2;27.76666666666667;4.016666666666667
2015;2;3;27.3;4.653333333333334
2015;2;4;26.45666666666667;5.243333333333333
2015;2;5;23.406666666666666;5.316666666666666
2015;2;6;11.49;6.8966666666666665
2015;2;7;4.59;6.51
2015;2;8;13.970000000000002;5.653333333333334
2015;2;9;24.466666666666665;6.5
2015;2;10;14.056666666666667;7.74
2015;2;11;13.686666666666667;7.6433333333333335
2015;2;12;23.696666666666665;5.746666666666667
2015;2;13;25.633333333333333;5.503333333333333
2015;2;14;23.610000000000003;7.633333333333333
2015;2;15;22.409999999999997;5.79
2015;2;16;13.316666666666666;7.18
2015;2;17;4.880000000000001;74.87333333333333
2015;2;18;5.84;76.02333333333334
2015;2;19;9.25;75.32666666666667
2015;2;20;16.116666666666667;7.8933333333333335
2015;2;21;28.356666666666666;7.859999999999999
2015;2;22;31.256666666666668;8.03
2015;2;23;30.063333333333333;8.753333333333334
2015;2;24;29.436666666666667;8.91
2015;2;25;28.886666666666667;141.55
2015;2;26;25.03333333333333;6.996666666666667
2015;2;27;24.39666666666667;5.566666666666666
2015;2;28;24.3;6.5566666666666675
2015;3;1;22.96333333333333;8.416666666666668
2015;3;2;24.46666666666667;74.59
2015;3;3;22.363333333333333;75.57666666666667
2015;3;4;16.95;7.963333333333333
2015;3;5;13.286666666666667;7.723333333333334
2015;3;6;14.060000000000002;7.483333333333334
2015;3;7;16.776666666666667;6.81
2015;3;8;20.023333333333337;8.143333333333334
2015;3;9;31.71333333333333;5.279999999999999
2015;3;10;35.94;8.416666666666668
2015;3;11;33.27333333333333;74.53666666666666
2015;3;12;35.413333333333334;7.290000000000001
2015;3;13;33.1;8.726666666666668
2015;3;14;30.953333333333337;75.38333333333334
2015;3;15;32.276666666666664;75.41666666666666
2015;3;16;29.380000000000003;75.37666666666667
2015;3;17;28.630000000000003;75.92333333333333
2015;3;18;30.35;8.930000000000001
2015;3;19;32.94666666666667;75.36999999999999
2015;3;20;31.883333333333333;75.40333333333334
2015;3;21;33.36;75.22999999999999
2015;3;22;30.676666666666666;7.1899999999999995
2015;3;23;22.45333333333333;8.92
2015;3;24;25.376666666666672;7.3
2015;3;25;35.65333333333333;8.916666666666668
2015;3;26;29.59666666666667;74.95
2015;3;27;25.113333333333333;140.73000000000002
2015;3;28;25.436666666666664;141.66000000000003
2015;3;29;25.136666666666663;141.67000000000002
2015;3;30;25.616666666666667;142.06
2015;3;31;29.110000000000003;75.44666666666666
2015;4;1;33.14333333333333;75.47
2015;4;2;33.93;74.57333333333334
2015;4;3;32.92999999999999;140.84
2015;4;4;33.52333333333333;6.403333333333333
2015;4;5;32.92999999999999;4.946666666666667
2015;4;6;34.05;6.510000000000001
2015;4;7;36.53666666666667;8.216666666666667
2015;4;29;61.19333333333333;7.133333333333333
2015;4;30;63.163333333333334;8.423333333333336
2015;5;1;60.74666666666667;8.780000000000001
2015;5;2;61.03333333333334;8.673333333333336
2015;5;3;63.120000000000005;9.0
2015;5;4;61.04;8.673333333333334
2015;5;5;52.71333333333333;8.506666666666668
2015;5;6;48.986666666666665;273.6
2015;5;7;48.95333333333333;207.56666666666666
2015;5;8;51.59333333333333;207.66
2015;5;9;50.68666666666667;207.46666666666664
2015;5;10;53.22666666666667;207.48000000000002
2015;5;11;56.22666666666667;207.64000000000001
2015;5;12;57.625;8.291666666666666
2015;5;13;59.19333333333333;8.700000000000001
2015;5;14;61.31111111111111;6.866666666666666
2015;5;15;61.51111111111111;338.14444444444445
2015;5;16;55.333333333333336;6.766666666666666
2015;5;17;48.224999999999994;7.808333333333333
2015;5;18;48.75555555555555;6.322222222222222
2015;5;19;48.29999999999999;6.7555555555555555
2015;5;20;55.644444444444446;6.588888888888889
2015;5;21;62.111111111111114;6.744444444444444
2015;5;22;67.73333333333333;338.47777777777776
2015;5;23;69.84444444444445;6.811111111111111
2015;5;24;64.71111111111111;6.788888888888889
2015;5;25;61.155555555555566;6.855555555555555
2015;5;26;66.46666666666667;338.0444444444444
2015;5;27;72.83333333333333;6.955555555555556
2015;5;28;74.47777777777777;6.911111111111111
