;YEAR;MONTH;DAY;E_USE_FACT;E_USE_PLAN;GEN_FACT;GEN_PLAN
1754;2015;11;29;44002.02777777778;44161.51388888889;44546.25;44838.48611111111
1809;2015;11;30;45961.13888888889;46119.333333333336;46121.430555555555;46342.430555555555
56;2015;12;01;45941.47222222222;46059.958333333336;46111.97222222222;46127.5
117;2015;12;02;45997.125;46079.15277777778;46026.38888888889;46237.305555555555
178;2015;12;03;46161.666666666664;46186.875;46299.11111111111;46331.194444444445
239;2015;12;04;46242.63888888889;46271.833333333336;46357.15277777778;46478.194444444445
300;2015;12;05;44494.75;44629.625;44924.194444444445;45181.875
361;2015;12;06;43615.01388888889;43735.305555555555;43713.555555555555;44071.583333333336
422;2015;12;07;45521.76388888889;45600.680555555555;45417.958333333336;45658.97222222222
483;2015;12;08;45583.97222222222;45641.333333333336;45538.52777777778;45658.791666666664
544;2015;12;09;45812.541666666664;45854.26388888889;45791.52777777778;45855.38888888889
605;2015;12;10;45991.59722222222;46067.25;46047.319444444445;46190.98611111111
666;2015;12;11;46049.444444444445;46076.180555555555;46340.805555555555;46431.305555555555
727;2015;12;12;44847.055555555555;44747.305555555555;45473.069444444445;45411.208333333336
788;2015;12;13;43992.23611111111;44039.305555555555;44700.13888888889;44812.22222222222
849;2015;12;14;46271.51388888889;46339.88888888889;46751.694444444445;46849.75
910;2015;12;15;46467.208333333336;46532.666666666664;47062.666666666664;47150.833333333336
971;2015;12;16;47073.26388888889;46987.01388888889;47869.305555555555;47820.305555555555
1032;2015;12;17;47432.86111111111;47418.13888888889;48323.77777777778;48346.708333333336
1093;2015;12;18;47663.694444444445;47692.0;48612.430555555555;48654.47222222222
1154;2015;12;19;46087.98611111111;46073.125;47283.166666666664;47254.444444444445
1215;2015;12;20;45029.041666666664;45102.708333333336;45934.694444444445;46113.944444444445
1276;2015;12;21;46886.541666666664;46830.916666666664;47495.694444444445;47510.59722222222
1337;2015;12;22;46594.36111111111;46688.541666666664;47147.541666666664;47311.458333333336
1398;2015;12;23;46340.694444444445;46464.51388888889;46849.02777777778;47049.52777777778
1459;2015;12;24;46136.48611111111;46158.666666666664;46652.625;46821.958333333336
1520;2015;12;25;46132.72222222222;46117.63888888889;46821.791666666664;46854.61111111111
1581;2015;12;26;44945.90277777778;44863.5;45732.61111111111;45685.48611111111
1642;2015;12;27;44270.76388888889;44328.59722222222;45158.375;45242.805555555555
1702;2015;12;28;46336.458333333336;46514.541666666664;47166.97222222222;47363.458333333336
1759;2015;12;29;46498.305555555555;46644.680555555555;47401.833333333336;47703.444444444445
1814;2015;12;30;46559.40277777778;46594.75;47629.555555555555;47717.833333333336
1849;2015;12;31;45425.944444444445;45468.97222222222;46795.416666666664;46808.569444444445
0;2016;01;01;42763.319444444445;42646.125;43903.75;43922.15277777778
61;2016;01;02;44288.15277777778;44146.51388888889;45526.944444444445;45400.833333333336
122;2016;01;03;45272.76388888889;45142.47222222222;46732.583333333336;46598.791666666664
183;2016;01;04;46237.958333333336;46037.11111111111;48039.52777777778;47694.319444444445
244;2016;01;05;46635.76388888889;46604.055555555555;48478.805555555555;48282.22222222222
305;2016;01;06;46468.36111111111;46587.069444444445;48253.430555555555;48333.13888888889
366;2016;01;07;45397.13888888889;45711.36111111111;47286.15277777778;47429.541666666664
427;2016;01;08;46006.22222222222;45985.84722222222;47785.541666666664;47646.90277777778
488;2016;01;09;45934.819444444445;46001.625;47680.069444444445;47627.90277777778
549;2016;01;10;45710.75;45784.09722222222;47353.125;47445.13888888889
610;2016;01;11;48359.555555555555;48258.76388888889;49814.319444444445;49631.15277777778
671;2016;01;12;48784.63888888889;48773.569444444445;49970.01388888889;50016.333333333336
732;2016;01;13;48245.01388888889;48369.930555555555;49308.930555555555;49515.430555555555
793;2016;01;14;47788.319444444445;47945.694444444445;48841.5;48983.916666666664
854;2016;01;15;48116.930555555555;48147.38888888889;49369.819444444445;49333.819444444445
915;2016;01;16;47207.97222222222;47067.27777777778;48837.97222222222;48661.680555555555
976;2016;01;17;46539.48611111111;46659.59722222222;48002.47222222222;48234.708333333336
1037;2016;01;18;48573.194444444445;48683.291666666664;49786.47222222222;49890.5
1098;2016;01;19;48387.98611111111;48659.25;49603.958333333336;49825.23611111111
1159;2016;01;20;48486.86111111111;48628.930555555555;49768.65277777778;49930.819444444445
1220;2016;01;21;48812.84722222222;48891.555555555555;50157.01388888889;50090.86111111111
1281;2016;01;22;49077.84722222222;49145.944444444445;50410.34722222222;50405.791666666664
1342;2016;01;23;47696.11111111111;47813.5;49184.59722222222;49247.84722222222
1403;2016;01;24;47270.61111111111;47420.625;48791.055555555555;48889.430555555555
1464;2016;01;25;49720.680555555555;49862.180555555555;50837.38888888889;51038.541666666664
1525;2016;01;26;49825.22222222222;49936.180555555555;50764.930555555555;50875.319444444445
1586;2016;01;27;49348.11111111111;49490.541666666664;50376.76388888889;50430.76388888889
1647;2016;01;28;48748.694444444445;48853.90277777778;49775.59722222222;49839.194444444445
1707;2016;01;29;48275.166666666664;48314.77777777778;49324.59722222222;49274.11111111111
1764;2016;01;30;46030.75;46182.458333333336;47285.47222222222;47398.458333333336
1819;2016;01;31;44941.51388888889;45093.319444444445;45841.125;46058.01388888889
5;2016;02;01;46776.041666666664;46899.916666666664;47502.416666666664;47722.416666666664
66;2016;02;02;46679.25;46832.47222222222;47582.041666666664;47705.916666666664
