YEAR;MONTH;DAY;INDEX
2020;2;23;2.715740740740741
2020;2;24;2.9033950617283946
2020;2;25;1.0466049382716052
2020;2;26;0.9591049382716048
2020;2;27;0.9929012345679011
2020;2;28;0.975462962962963
2020;2;29;2.316666666666667
2020;3;1;2.6949074074074075
2020;3;2;1.0314814814814817
2020;3;3;0.9078703703703703
2020;3;4;0.9120370370370371
2020;3;5;0.8305555555555555
2020;3;6;0.9015432098765432
2020;3;7;2.170679012345679
2020;3;8;2.5510802469135805
2020;3;9;2.859567901234568
2020;3;10;0.9191358024691358
2020;3;11;0.8490740740740741
2020;3;12;0.9250000000000002
2020;3;13;0.9432098765432096
2020;3;14;2.1882716049382713
2020;3;15;2.8930555555555553
2020;3;16;1.0169753086419755
2020;3;17;1.0368827160493825
2020;3;18;1.096296296296296
2020;3;19;1.2429012345679014
2020;3;20;1.2604938271604937
2020;3;21;2.483024691358025
2020;3;22;3.0461419753086414
2020;3;23;1.5726851851851853
2020;3;24;1.4899691358024691
2020;3;25;1.4083333333333332
2020;3;26;1.374382716049383
2020;3;27;1.3205246913580249
2020;3;28;2.7501543209876544
2020;3;29;3.2939814814814814
2020;3;30;2.8381172839506172
2020;3;31;3.097530864197531
2020;4;1;3.420987654320988
2020;4;2;3.488888888888889
2020;4;3;3.29320987654321
2020;4;4;3.5731481481481477
2020;4;5;3.787654320987654
2020;4;6;2.9856481481481483
2020;4;7;2.910493827160494
2020;4;8;2.8069444444444445
2020;4;9;2.6932098765432095
2020;4;10;2.681172839506173
2020;4;11;3.3581790123456785
2020;4;12;3.8094135802469133
2020;4;13;2.738888888888889
2020;4;14;2.5841049382716053
2020;4;15;2.587654320987655
2020;4;16;2.6587962962962965
2020;4;17;2.6697530864197527
2020;4;18;3.354320987654321
2020;4;19;3.4873456790123454
2020;4;20;2.6617283950617288
2020;4;21;2.776851851851851
2020;4;22;2.7762345679012346
2020;4;23;2.7162037037037035
2020;4;24;2.582716049382716
2020;4;25;3.172376543209877
2020;4;26;3.456635802469136
2020;4;27;2.39320987654321
2020;4;28;2.5294753086419752
2020;4;29;2.3348765432098766
2020;4;30;2.2439814814814816
2020;5;1;2.9679012345679014
2020;5;2;2.946296296296296
2020;5;3;2.962808641975309
2020;5;4;2.632253086419753
2020;5;5;2.6205246913580242
2020;5;6;2.131018518518518
2020;5;7;2.1050925925925927
2020;5;8;2.0401234567901234
2020;5;9;2.81604938271605
2020;5;10;3.121141975308642
2020;5;11;2.79783950617284
2020;5;12;1.8129629629629629
2020;5;13;2.0239197530864197
2020;5;14;1.8376543209876541
2020;5;15;2.016512345679012
2020;5;16;2.560493827160494
